unspsc,root_domain,page_url,product_title,brand,eco_friendly,merged_description,product_identifier,intended_industries,applicability,ethical_and_sustainability_practices,materials,ingredients,manufacturing_countries,manufacturing_type,customization,packaging_type,form,quality_standards_and_certifications,miscellaneous_features,production_capacity,price,size,color,purity,energy_efficiency,pressure_rating,power_rating
String instruments,schecterguitars.com,"https://www.schecterguitars.com/guitars/6-string/custitem_color_master_list/Satin-White,Scarlet-Burst,Silver-Burst-Pearl-%28SVBP%29,Silver-Mountain,Trans-Purple-Burst-%28TPB%29,Transparent-White-Satin,Ziricote",Robert Smith UltraCure VI Guitar,,,"A guitar model available in various colors including Satin-White, Scarlet-Burst, Silver-Burst-Pearl-%28SVBP%29, Transparent-Black-Burst, Ultra-Violet-%28UV%29, Vampyre-Red-Burst-Satin-%28VRBS%29, Vintage-Sunburst-Pearl, and Ziricote. It is designed for both right-handed and left-handed players. The guitar is priced at $3,289.00.",[],"['Entertainment', 'Music']",[],[],[],[],[],[],"['Available in various configurations including LH', 'Available in various colors']",[],[],[],"['Includes LH configuration', 'Available in various configurations']",[],"[{'amount': 1399.0, 'currency': 'USD', 'type': 'min'}, {'amount': 1999.0, 'currency': 'USD', 'type': 'max'}, {'amount': 3289.0, 'currency': 'USD', 'type': 'exact'}, {'amount': 363.0, 'currency': 'USD', 'type': 'exact'}]",[],"[{'original': 'Satin-White', 'simple': 'White'}, {'original': 'Scarlet-Burst', 'simple': 'Red'}, {'original': 'Silver-Burst-Pearl', 'simple': 'Gray'}, {'original': 'Transparent-Black-Burst', 'simple': 'Black'}, {'original': 'Ultra-Violet', 'simple': 'Purple'}, {'original': 'Vampyre-Red-Burst-Satin', 'simple': 'Red'}, {'original': 'Vintage-Sunburst-Pearl', 'simple': 'Multicolor'}]",[],[],[],[]
Metal rolling machines,metalukraine.com,https://metalukraine.com/page/330,Rolling,Ferrexpo,,"""Metal Processing Product"" is a metal processing product offered for sale in Ukraine, utilized in various industrial applications. It is available for purchase through the Ukrainian Metal portal.",[],"['Manufacturing', 'Industrial']",[],[],"['Metal', 'Steel']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Anti oxidants,harebueng.co.za,https://www.harebueng.co.za/category/products/rubber-antioxidant/6ppd/page/29,Rubber Antioxidant 6ppd,"Hebei Tongxie Import and Export Co., Ltd.",,"Rubber Antioxidant 6ppd, also known as Rubber Protective Agent 4020, is a high-quality rubber chemical additive specifically designed for the tire industry. This product, identified by CAS No. 793-24-8, is a white solid that gradually oxidizes to a brown solid when exposed to air. The industrial form of Rubber Antioxidant 6ppd is available in purple brown to black brown granules or flakes, which will slowly caking when the temperature exceeds 35-40℃. It is soluble in various solvents including gasoline, benzene, acetone, ethyl acetate, dichloroethane, and carbon tetrachloride. The product is manufactured by Hebei Tongxie Import and Export Co., Ltd. and is available for purchase with a minimum order quantity of 1 metric ton. The FOB price ranges from USD $1350 to $1500 per metric ton, with a minimum order quantity of 1 metric ton. The product is packaged in bags and is certified by REACH, ensuring compliance with safety and environmental standards. Rubber Antioxidant 6ppd is a stable supply capacity product, offering professional technical support and various payment terms. It is also available for local warehousing for small batch customers. This product is manufactured in China and is part of a wide range of rubber antioxidants offered by the manufacturer.",['CAS: 793-24-8'],"['Tire Industry', 'Rubber Manufacturing']","['Rubber Antioxidation', 'Rubber Oxidation Protection']",[],['Rubber'],[],"['EC', 'CN']",[],[],['Bags'],[],['REACH'],"['Gradual oxidation process', 'minimum order quantity of 1 metric ton', 'Soluble in various solvents', 'Available for local warehousing']",[],"[{'amount': 1350.0, 'currency': 'USD', 'type': 'min'}, {'amount': 1500.0, 'currency': 'USD', 'type': 'max'}]",[],[],[],[],[],[]
Molded seals,qhhcsj.cn,https://www.qhhcsj.cn/,Rubber Sealing Strip for Bus Profile,,,"The ""Rubber Sealing Strip"" is specifically designed for use in bus profiles, providing effective sealing solutions.",[],['Automotive'],"['Sealing in bus profiles', 'Sealing Solutions For Bus Profiles']",[],['Rubber'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Rubber and plastic processing machinery and equipment and supplies,chapmachinery.com,http://www.chapmachinery.com/,Rubber Transfer Type Molding Machine,,,"The ""Rubber Transfer Type Molding Machine"" is designed for transferring rubber into molds to shape it, making it suitable for various industrial applications.",[],"['Manufacturing', 'Industrial']","['Rubber Molding', 'Rubber Shaping']",[],['Rubber'],[],[],[],[],[],[],[],['transfer mechanism'],[],[],[],[],[],[],[],[]
Ladders and scaffolding,eladders.com,https://www.eladders.com/catalogsearch/result/index/?q=4+in+1&special_price=2%2C1000&status=1,Rung to Plate Connect Double Section 40',,,"A double section ladder with a rung to plate connection, featuring a 40-foot length. Regular price is $1,191.00, currently available at a special price of $1,063.00.",[],"['Maintenance', 'Construction']","['ladder use', 'easy connection and use']",[],[],[],[],[],[],[],[],[],"['Rung to Plate Connection', 'easy connection and use', 'double section']",[],"[{'amount': 1063.0, 'currency': 'USD', 'type': 'min'}, {'amount': 1191.0, 'currency': 'USD', 'type': 'max'}]","[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'ft', 'value': '40'}]",[],[],[],[],[]
Tshirts,bigdogs.com,https://www.bigdogs.com/products/running-dog-performance-crew-1?pr_prod_strat=jac&pr_rec_id=bdab95987&pr_rec_pid=7697514528962&pr_ref_pid=7697516069058&pr_seq=uniform,Running Dog Performance Crew Neck T-Shirt,,,"The Running Dog Performance Crew Neck T-Shirt is a versatile and high-performance garment designed for various active lifestyles. This unisex t-shirt is crafted from 100% premium polyester, ensuring durability and comfort. The fabric is soft, moisture-wicking, and features UPF44+ protection, making it ideal for activities such as gym workouts, sports, hiking, and more. The t-shirt is available in multiple sizes, including M, L, XL, 2X, 3X, and 4X, catering to a wide range of body types. It comes in a striking Royal Blue color, adding a vibrant touch to your wardrobe. The t-shirt weighs 0.12 oz/yd² (4 g/m²), providing a lightweight yet durable feel. It is fade and snag-resistant, ensuring long-lasting wear. The relaxed fit and reinforced shoulder seams enhance its comfort and durability. Additionally, the t-shirt offers odor resistance and stain release, making it easy to maintain. This product is made to order, with a processing time of 72 hours before shipment. It is available exclusively in the United States. The t-shirt is priced between €27.95 and €30.95, depending on the size and variant. The prints on the t-shirt may have variations in texture and appearance due to the natural byproduct of the printing process, known as glycol, which can give the print a shinier appearance. This product is designed to keep you cool, dry, and confident during intense activities, making it a perfect choice for active individuals.",[],"['Fashion', 'Sports']","['Wearing in gym sessions, sports activities, hiking', 'Wearing for various active lifestyles']",[],['Polyester'],[],[],[],[],[],[],[],"['Available Exclusively in the United States', 'Odor resistance and stain release', 'Available exclusively in the United States', 'Reinforced Shoulder Seams', 'Made to order with a processing time of 72 hours', 'Fade and snag-resistant', 'Reinforced shoulder seams', 'Processing Time of 72 Hours', 'UPF44+ protection']",[],"[{'amount': 27.950000762939453, 'currency': 'EUR', 'type': 'min'}, {'amount': 30.950000762939453, 'currency': 'EUR', 'type': 'max'}]","[{'dimension': None, 'qualitative': True, 'type': 'min', 'unit': None, 'value': 'M'}, {'dimension': None, 'qualitative': True, 'type': 'max', 'unit': None, 'value': '4X'}]","[{'original': 'Royal Blue', 'simple': 'Blue'}, {'original': 'Safety Orange', 'simple': 'Orange'}]",[],[],[],[]
Clothing accessories,bigdogs.com,https://www.bigdogs.com/products/running-dog-structured-twill-cap-3?pr_prod_strat=e5_desc&pr_rec_id=c5cfee0be&pr_rec_pid=7406289944770&pr_ref_pid=7406289682626&pr_seq=uniform,Running Dog Structured Twill Cap,Big Dogs,,"The Running Dog Structured Twill Cap is a premium headwear option designed for both style and comfort. This cap is crafted from a blend of 63% polyester, 34% cotton, and 3% spandex twill, ensuring a durable and flexible fit. It features a structured design with a 6-panel construction and a mid-profile, which includes a low-profile embroidery area. The cap is equipped with six embroidered eyelets, providing a comfortable fit and added style. Additionally, it includes a stretch band for a snug and secure fit, and a silver undervisor for a sleek and polished look. The head circumference of the cap ranges from 22” to 23⅞” (55.9 cm to 60.6 cm), making it suitable for a variety of head sizes. The cap is available in a striking red color, adding a vibrant touch to any outfit. It comes in two sizes: S/M and L/XL, catering to different head sizes. This cap is ideal for those seeking a blend of functionality and fashion in their headwear.",[],"['Fashion', 'Retail']","['comfort', 'style', 'headwear', 'fashion accessory']",[],"['Polyester', 'Spandex', 'Cotton']",[],[],[],[],[],[],[],"['6-panel construction', 'Silver undervisor', 'Stretch band for added comfort', '6-panel, mid-profile construction', 'Silver undervisor for a sleek finish', 'Low-profile embroidery area']",[],[],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'min', 'unit': 'in', 'value': '22'}, {'dimension': 'Diameter', 'qualitative': False, 'type': 'max', 'unit': 'in', 'value': '23.9'}, {'dimension': 'Diameter', 'qualitative': False, 'type': 'max', 'unit': 'in', 'value': '23.8'}]",[],[],[],[],[]
Hospital housekeeping textiles,imperialprivacy.com,https://www.imperialprivacy.com/products/rx-1008?pr_prod_strat=e5_desc&pr_rec_id=e8d7949d3&pr_rec_pid=7975505461403&pr_ref_pid=7975506641051&pr_seq=uniform,Rx 1008 Cubicle Curtain,Imperial Privacy Systems,,"The Rx 1008 Cubicle Curtain is a product offered by Imperial Privacy Systems, a leading US manufacturer of cubicle curtains, medical curtains, snap-on privacy curtains, and cubicle track systems. This product is specifically designed for use in hospital patient rooms, clinics, education, behavioral, senior care, and healthcare facilities. The Rx 1008 Cubicle Curtain is part of a comprehensive range of cubicle curtains and curtain systems that are tailored to meet the specific needs of various healthcare environments. The curtain is likely made from durable materials suitable for high-traffic areas, ensuring longevity and reliability. The product is designed to provide privacy and separation, which is crucial in healthcare settings where patient confidentiality is paramount. The Rx 1008 Cubicle Curtain is part of a broader product line that includes other types of curtains and curtain systems, each designed to meet specific requirements and applications. The product is available for purchase through Imperial Privacy Systems, and additional information such as specifications, drawings, CAD, and technical documents can be requested to ensure it meets the exact needs of the project or facility. The curtain is also designed to be customizable, allowing for unique looks and branding options. The product is available for quick-ship, ensuring that it can be delivered promptly to meet urgent needs. The Rx 1008 Cubicle Curtain is an essential component for creating a comfortable and private environment in healthcare facilities, providing both functionality and aesthetic appeal.",[],"['Education', 'Behavioral', 'Healthcare', 'Senior Care']","['Education', 'Senior Care', 'Behavioral', 'Healthcare Facilities', 'Clinics', 'Privacy And Separation In Healthcare Environments', 'Use In Hospital Patient Rooms']",[],[],[],['US'],['Custom-Built'],['Customizable for unique looks and branding options'],[],[],[],['Quick-ship available'],[],"[{'amount': 60.0, 'currency': 'USD', 'type': 'exact'}]",[],[],[],[],[],[]
Folders and binders and indexes,apothecaryproducts.com,https://shop.apothecaryproducts.com/products/rx-file-folder?_pos=1&_sid=8efef64ea&_ss=r,Rx File Folder with Single Fold,Apothecary Products,,"The Rx File Folder with Single Fold by Apothecary Products is a durable and practical solution for organizing pharmacy store supplies. This folder is made from 67 lb. index card stock, ensuring robustness and longevity. It features a single-fold design, making it easy to handle and store. The folder is blue in color, which is a standard and professional appearance suitable for various medical and pharmacy settings. The dimensions of the folder when unfolded are 8-1/2"" x 5-1/2"", while when folded, it measures 5.62"" x 4.124"" x 0.5"". This product is identified by the part number 53007 and is available in an inner quantity of 100. The folder is designed to meet the needs of pharmacy professionals, providing a reliable and efficient way to keep track of prescriptions and other important documents.",['Part_Number: 53007'],['Healthcare'],"['organizing pharmacy store supplies', 'organizing prescription files']",[],[],[],[],[],[],[],[],[],"['Single-fold design', '67 lb. index card stock']",[],[],"[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '8.5'}, {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '5.5'}, {'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '0.5'}]",[],[],[],[],[]
